cd,class_cat,count_tot,FOL_eng,FOL_fra,in,out
2425,Administrative and Foreign Service,2356,49,2307,0,2356
2425,Executive Group,17,4,13,0,17
2425,Operational,295,2,293,0,295
2425,Other,63,1,62,0,63
2425,Scientific and Professional,639,28,611,0,639
2425,Technical,404,9,395,0,404
2426,Administrative Support,198,2,196,0,198
2426,Administrative and Foreign Service,319,1,318,0,319
2426,Executive Group,6,0,6,0,6
2426,Operational,49,0,49,0,49
2426,Other,6,0,6,0,6
2426,Scientific and Professional,31,0,31,0,31
2426,Technical,53,1,52,0,53
2427,Administrative Support,25,0,25,0,25
2427,Administrative and Foreign Service,72,0,72,0,72
2427,Operational,4,0,4,0,4
2427,Scientific and Professional,15,0,15,0,15
2427,Technical,2,0,2,0,2
2428,Administrative Support,22,3,19,0,22
2428,Administrative and Foreign Service,33,5,28,0,33
2428,Operational,10,0,10,0,10
2428,Scientific and Professional,5,0,5,0,5
2428,Technical,12,1,11,0,12
2429,Administrative Support,64,0,64,0,64
2429,Administrative and Foreign Service,217,0,217,0,217
2429,Executive Group,1,0,1,0,1
2429,Operational,32,1,31,0,32
2429,Other,9,0,9,0,9
2429,Scientific and Professional,32,0,32,0,32
2429,Technical,30,0,30,0,30
2430,Administrative Support,43,0,43,0,43
2430,Administrative and Foreign Service,73,1,72,0,73
2430,Executive Group,2,0,2,0,2
2430,Operational,16,0,16,0,16
2430,Scientific and Professional,4,0,4,0,4
2430,Technical,8,1,7,0,8
2431,Administrative Support,74,10,64,0,74
2431,Administrative and Foreign Service,439,27,412,1,438
2431,Operational,33,0,33,0,33
2431,Other,19,0,19,0,19
2431,Scientific and Professional,36,3,33,0,36
2431,Technical,30,1,29,0,30
2432,Administrative Support,7,0,7,0,7
2432,Administrative and Foreign Service,49,1,48,0,49
2432,Operational,12,0,12,0,12
2432,Other,8,0,8,0,8
2432,Scientific and Professional,8,0,8,0,8
2432,Technical,10,0,10,0,10
2433,Administrative Support,198,2,196,0,198
2433,Administrative and Foreign Service,293,0,293,0,293
2433,Operational,65,0,65,0,65
2433,Other,12,0,12,0,12
2433,Scientific and Professional,59,0,59,0,59
2433,Technical,65,0,65,0,65
2434,Administrative Support,690,10,680,0,690
2434,Administrative and Foreign Service,975,18,957,15,960
2434,Executive Group,13,0,13,0,13
2434,Operational,360,2,358,12,348
2434,Other,9,0,9,0,9
2434,Scientific and Professional,189,0,189,0,189
2434,Technical,142,4,138,0,142
2435,Administrative Support,45,0,45,0,45
2435,Administrative and Foreign Service,84,1,83,0,84
2435,Operational,12,0,12,0,12
2435,Other,3,0,3,0,3
2435,Scientific and Professional,6,0,6,0,6
2435,Technical,16,0,16,0,16
2436,Administrative Support,200,12,188,0,200
2436,Administrative and Foreign Service,1216,26,1190,28,1188
2436,Executive Group,7,0,7,0,7
2436,Operational,103,5,98,0,103
2436,Other,34,0,34,0,34
2436,Scientific and Professional,94,2,92,0,94
2436,Technical,82,3,79,0,82
2437,Administrative Support,1176,29,1147,0,1176
2437,Administrative and Foreign Service,2763,70,2693,0,2763
2437,Executive Group,23,0,23,0,23
2437,Operational,304,2,302,0,304
2437,Other,56,1,55,0,56
2437,Scientific and Professional,498,27,471,0,498
2437,Technical,303,8,295,3,300
2438,Administrative Support,45,0,45,0,45
2438,Administrative and Foreign Service,104,1,103,0,104
2438,Operational,30,0,30,0,30
2438,Other,2,0,2,0,2
2438,Scientific and Professional,37,0,37,0,37
2438,Technical,17,1,16,0,17
2439,Administrative Support,103,7,96,0,103
2439,Administrative and Foreign Service,187,7,180,0,187
2439,Executive Group,3,0,3,0,3
2439,Operational,62,0,62,0,62
2439,Other,28,0,28,0,28
2439,Scientific and Professional,96,2,94,0,96
2439,Technical,47,0,47,0,47
2440,Administrative Support,27,0,27,0,27
2440,Administrative and Foreign Service,25,1,24,0,25
2440,Operational,4,0,4,0,4
2440,Scientific and Professional,7,0,7,0,7
2440,Technical,7,0,7,0,7
2441,Administrative Support,76,6,70,0,76
2441,Administrative and Foreign Service,126,16,110,0,126
2441,Operational,11,1,10,0,11
2441,Other,2,0,2,0,2
2441,Scientific and Professional,29,3,26,0,29
2441,Technical,32,2,30,0,32
2442,Administrative Support,112,15,97,0,112
2442,Administrative and Foreign Service,152,20,132,0,152
2442,Operational,28,9,19,0,28
2442,Scientific and Professional,47,12,35,0,47
2442,Technical,33,2,31,0,33
2443,Administrative Support,1686,167,1519,20,1666
2443,Administrative and Foreign Service,3196,293,2903,18,3178
2443,Executive Group,35,2,33,1,34
2443,Operational,221,18,203,5,216
2443,Other,167,32,135,0,167
2443,Scientific and Professional,1249,131,1118,1,1248
2443,Technical,544,45,499,6,538
2444,Administrative Support,67,7,60,0,67
2444,Administrative and Foreign Service,127,15,112,0,127
2444,Operational,15,2,13,0,15
2444,Other,4,0,4,0,4
2444,Scientific and Professional,41,7,34,0,41
2444,Technical,36,2,34,0,36
2445,Administrative Support,203,23,180,0,203
2445,Administrative and Foreign Service,382,48,334,24,358
2445,Executive Group,6,0,6,0,6
2445,Operational,49,5,44,0,49
2445,Other,9,0,9,0,9
2445,Scientific and Professional,182,15,167,0,182
2445,Technical,75,7,68,0,75
2446,Administrative Support,398,60,338,15,383
2446,Administrative and Foreign Service,740,124,616,0,740
2446,Executive Group,10,5,5,0,10
2446,Operational,291,18,273,1,290
2446,Other,18,12,6,0,18
2446,Scientific and Professional,110,15,95,0,110
2446,Technical,117,13,104,0,117
2447,Administrative Support,277,22,255,0,277
2447,Administrative and Foreign Service,560,30,530,32,528
2447,Executive Group,3,0,3,0,3
2447,Operational,225,15,210,0,225
2447,Other,11,0,11,0,11
2447,Scientific and Professional,95,5,90,0,95
2447,Technical,81,3,78,0,81
2448,Administrative Support,38,0,38,0,38
2448,Administrative and Foreign Service,27,0,27,0,27
2448,Operational,11,0,11,0,11
2448,Scientific and Professional,7,0,7,0,7
2448,Technical,19,0,19,0,19
2449,Administrative Support,385,22,363,0,385
2449,Administrative and Foreign Service,703,21,682,39,664
2449,Executive Group,8,0,8,0,8
2449,Operational,311,6,305,5,306
2449,Other,10,0,10,0,10
2449,Scientific and Professional,193,3,190,0,193
2449,Technical,133,8,125,0,133
2450,Administrative Support,40,4,36,0,40
2450,Administrative and Foreign Service,103,5,98,0,103
2450,Executive Group,1,0,1,0,1
2450,Operational,48,2,46,0,48
2450,Other,5,3,2,0,5
2450,Scientific and Professional,28,3,25,0,28
2450,Technical,19,0,19,0,19
2451,Administrative Support,72,2,70,0,72
2451,Administrative and Foreign Service,302,15,287,0,302
2451,Operational,67,0,67,0,67
2451,Other,4,0,4,0,4
2451,Scientific and Professional,43,0,43,0,43
2451,Technical,54,1,53,0,54
2452,Administrative Support,106,2,104,0,106
2452,Administrative and Foreign Service,180,10,170,0,180
2452,Executive Group,2,0,2,0,2
2452,Operational,106,0,106,0,106
2452,Other,11,2,9,0,11
2452,Scientific and Professional,30,0,30,0,30
2452,Technical,28,0,28,0,28
2453,Administrative Support,119,4,115,0,119
2453,Administrative and Foreign Service,254,4,250,0,254
2453,Executive Group,4,0,4,0,4
2453,Operational,108,2,106,1,107
2453,Other,4,0,4,0,4
2453,Scientific and Professional,36,2,34,0,36
2453,Technical,45,0,45,0,45
2454,Administrative Support,332,2,330,0,332
2454,Administrative and Foreign Service,664,31,633,15,649
2454,Executive Group,8,0,8,0,8
2454,Operational,126,0,126,0,126
2454,Other,24,3,21,0,24
2454,Scientific and Professional,268,9,259,0,268
2454,Technical,240,10,230,7,233
2455,Administrative Support,271,10,261,0,271
2455,Administrative and Foreign Service,416,46,370,0,416
2455,Executive Group,9,0,9,0,9
2455,Operational,117,2,115,0,117
2455,Other,6,0,6,0,6
2455,Scientific and Professional,72,5,67,0,72
2455,Technical,93,1,92,0,93
2456,Administrative Support,2062,126,1936,53,2009
2456,Administrative and Foreign Service,2686,122,2564,9,2677
2456,Executive Group,28,1,27,1,27
2456,Operational,638,24,614,4,634
