cd,var,obs
1205,commute_15_29_min,2525
1205,commute_30_44_min,990
1205,commute_45_59_min,435
1205,commute_more_60_min,440
1206,total_pop_15+,40535
1206,labour_force,22605
1206,emp,20545
1206,unemp,2065
1206,not_labour_force,17925
1206,part_rate,0.558
1206,emp_rate,0.507
1206,unemp_rate,0.091
1206,noc_not_applicable,375
1206,noc_managers,2100
1206,noc_1,2830
1206,noc_2,910
1206,noc_3,1725
1206,noc_4,2110
1206,noc_5,640
1206,noc_6,5115
1206,noc_7,3825
1206,noc_8,1200
1206,noc_9,1765
1206,commute_less_15_min,7385
1206,commute_15_29_min,5940
1206,commute_30_44_min,2675
1206,commute_45_59_min,1080
1206,commute_more_60_min,1625
1207,total_pop_15+,50335
1207,labour_force,30165
1207,emp,27355
1207,unemp,2810
1207,not_labour_force,20170
1207,part_rate,0.599
1207,emp_rate,0.543
1207,unemp_rate,0.093
1207,noc_not_applicable,600
1207,noc_managers,3035
1207,noc_1,3590
1207,noc_2,1360
1207,noc_3,2410
1207,noc_4,4235
1207,noc_5,665
1207,noc_6,6835
1207,noc_7,4365
1207,noc_8,1275
1207,noc_9,1790
1207,commute_less_15_min,11005
1207,commute_15_29_min,9670
1207,commute_30_44_min,2490
1207,commute_45_59_min,590
1207,commute_more_60_min,1385
1208,total_pop_15+,34910
1208,labour_force,21720
1208,emp,19840
1208,unemp,1880
1208,not_labour_force,13185
1208,part_rate,0.622
1208,emp_rate,0.568
1208,unemp_rate,0.087
1208,noc_not_applicable,290
1208,noc_managers,2085
1208,noc_1,3080
1208,noc_2,1230
1208,noc_3,1490
1208,noc_4,2330
1208,noc_5,400
1208,noc_6,4560
1208,noc_7,4895
1208,noc_8,610
1208,noc_9,735
1208,commute_less_15_min,4710
1208,commute_15_29_min,4340
1208,commute_30_44_min,4690
1208,commute_45_59_min,2705
1208,commute_more_60_min,1925
1209,total_pop_15+,337215
1209,labour_force,225945
1209,emp,209425
1209,unemp,16515
1209,not_labour_force,111275
1209,part_rate,0.67
1209,emp_rate,0.621
1209,unemp_rate,0.073
1209,noc_not_applicable,4080
1209,noc_managers,24335
1209,noc_1,36720
1209,noc_2,17555
1209,noc_3,17440
1209,noc_4,30390
1209,noc_5,7555
1209,noc_6,55170
1209,noc_7,26175
1209,noc_8,2740
1209,noc_9,3785
1209,commute_less_15_min,48595
1209,commute_15_29_min,79445
1209,commute_30_44_min,42835
1209,commute_45_59_min,13960
1209,commute_more_60_min,9960
1210,total_pop_15+,42100
1210,labour_force,25285
1210,emp,22910
1210,unemp,2375
1210,not_labour_force,16815
1210,part_rate,0.601
1210,emp_rate,0.544
1210,unemp_rate,0.094
1210,noc_not_applicable,395
1210,noc_managers,2285
1210,noc_1,3385
1210,noc_2,1115
1210,noc_3,1800
1210,noc_4,3015
1210,noc_5,515
1210,noc_6,5730
1210,noc_7,4565
1210,noc_8,1045
1210,noc_9,1425
1210,commute_less_15_min,9165
1210,commute_15_29_min,6940
1210,commute_30_44_min,2190
1210,commute_45_59_min,1250
1210,commute_more_60_min,1625
1211,total_pop_15+,25260
1211,labour_force,13645
1211,emp,12100
1211,unemp,1550
1211,not_labour_force,11610
1211,part_rate,0.54
1211,emp_rate,0.479
1211,unemp_rate,0.114
1211,noc_not_applicable,265
1211,noc_managers,1280
1211,noc_1,1630
1211,noc_2,450
1211,noc_3,1220
1211,noc_4,1525
1211,noc_5,200
1211,noc_6,3115
1211,noc_7,2220
1211,noc_8,725
1211,noc_9,1025
1211,commute_less_15_min,5785
1211,commute_15_29_min,2740
1211,commute_30_44_min,1470
1211,commute_45_59_min,450
1211,commute_more_60_min,665
1212,total_pop_15+,36480
1212,labour_force,20765
1212,emp,18170
1212,unemp,2595
1212,not_labour_force,15715
1212,part_rate,0.569
1212,emp_rate,0.498
1212,unemp_rate,0.125
1212,noc_not_applicable,505
1212,noc_managers,1910
1212,noc_1,2725
1212,noc_2,725
1212,noc_3,1695
1212,noc_4,2205
1212,noc_5,425
1212,noc_6,5080
1212,noc_7,3695
1212,noc_8,740
1212,noc_9,1050
1212,commute_less_15_min,7905
1212,commute_15_29_min,6520
1212,commute_30_44_min,1550
1212,commute_45_59_min,540
1212,commute_more_60_min,650
1213,total_pop_15+,6675
1213,labour_force,3355
1213,emp,2735
1213,unemp,615
1213,not_labour_force,3320
1213,part_rate,0.503
1213,emp_rate,0.41
1213,unemp_rate,0.183
1213,noc_not_applicable,65
1213,noc_managers,210
1213,noc_1,390
1213,noc_2,105
1213,noc_3,225
1213,noc_4,270
1213,noc_5,70
1213,noc_6,600
1213,noc_7,695
1213,noc_8,540
1213,noc_9,180
1213,commute_less_15_min,985
1213,commute_15_29_min,600
1213,commute_30_44_min,395
1213,commute_45_59_min,210
1213,commute_more_60_min,285
1214,total_pop_15+,15930
1214,labour_force,10080
1214,emp,8915
1214,unemp,1170
1214,not_labour_force,5850
1214,part_rate,0.633
1214,emp_rate,0.56
1214,unemp_rate,0.116
1214,noc_not_applicable,140
1214,noc_managers,885
1214,noc_1,1275
1214,noc_2,435
1214,noc_3,990
1214,noc_4,1245
1214,noc_5,260
1214,noc_6,2280
1214,noc_7,1640
1214,noc_8,650
1214,noc_9,280
1214,commute_less_15_min,3985
1214,commute_15_29_min,2535
1214,commute_30_44_min,1020
1214,commute_45_59_min,380
1214,commute_more_60_min,400
1215,total_pop_15+,14315
1215,labour_force,8205
1215,emp,6765
1215,unemp,1440
1215,not_labour_force,6115
1215,part_rate,0.573
1215,emp_rate,0.473
1215,unemp_rate,0.176
1215,noc_not_applicable,175
1215,noc_managers,610
1215,noc_1,850
1215,noc_2,360
1215,noc_3,660
1215,noc_4,790
1215,noc_5,155
1215,noc_6,1880
1215,noc_7,1420
1215,noc_8,885
1215,noc_9,415
1215,commute_less_15_min,3355
1215,commute_15_29_min,1350
1215,commute_30_44_min,810
1215,commute_45_59_min,320
1215,commute_more_60_min,350
1216,total_pop_15+,7750
1216,labour_force,4035
1216,emp,3375
1216,unemp,660
1216,not_labour_force,3720
1216,part_rate,0.521
1216,emp_rate,0.435
1216,unemp_rate,0.164
1216,noc_not_applicable,100
1216,noc_managers,275
1216,noc_1,420
1216,noc_2,195
1216,noc_3,265
1216,noc_4,365
1216,noc_5,80
1216,noc_6,900
1216,noc_7,790
1216,noc_8,335
1216,noc_9,305
1216,commute_less_15_min,1335
1216,commute_15_29_min,880
1216,commute_30_44_min,510
1216,commute_45_59_min,200
1216,commute_more_60_min,250
1217,total_pop_15+,83220
1217,labour_force,43905
1217,emp,36180
1217,unemp,7725
1217,not_labour_force,39315
1217,part_rate,0.528
1217,emp_rate,0.435
1217,unemp_rate,0.176
1217,noc_not_applicable,1425
1217,noc_managers,2895
1217,noc_1,5645
1217,noc_2,1495
1217,noc_3,4390
1217,noc_4,5395
1217,noc_5,770
1217,noc_6,11965
1217,noc_7,6885
1217,noc_8,1835
1217,noc_9,1215
1217,commute_less_15_min,15360
1217,commute_15_29_min,13075
1217,commute_30_44_min,4550
1217,commute_45_59_min,1010
1217,commute_more_60_min,895
1218,total_pop_15+,5940
1218,labour_force,3440
1218,emp,2525
1218,unemp,920
1218,not_labour_force,2500
1218,part_rate,0.579
1218,emp_rate,0.425
1218,unemp_rate,0.267
1218,noc_not_applicable,55
1218,noc_managers,270
1218,noc_1,310
1218,noc_2,160
1218,noc_3,260
1218,noc_4,330
1218,noc_5,110
1218,noc_6,800
1218,noc_7,560
1218,noc_8,495
1218,noc_9,95
1218,commute_less_15_min,1125
1218,commute_15_29_min,560
1218,commute_30_44_min,250
1218,commute_45_59_min,135
1218,commute_more_60_min,205
1301,total_pop_15+,60880
1301,labour_force,37480
1301,emp,33750
1301,unemp,3735
1301,not_labour_force,23400
1301,part_rate,0.616
1301,emp_rate,0.554
1301,unemp_rate,0.1
1301,noc_not_applicable,1005
1301,noc_managers,2840
1301,noc_1,5725
1301,noc_2,2265
1301,noc_3,3120
1301,noc_4,3870
1301,noc_5,660
1301,noc_6,11050
1301,noc_7,5415
1301,noc_8,460
1301,noc_9,1070
1301,commute_less_15_min,14445
1301,commute_15_29_min,12970
1301,commute_30_44_min,2965
1301,commute_45_59_min,1095
1301,commute_more_60_min,880
1302,total_pop_15+,21175
1302,labour_force,12815
1302,emp,11010
1302,unemp,1805
1302,not_labour_force,8360
1302,part_rate,0.605
1302,emp_rate,0.52
1302,unemp_rate,0.141
1302,noc_not_applicable,275
1302,noc_managers,1125
1302,noc_1,1335
1302,noc_2,525
1302,noc_3,825
1302,noc_4,1225
1302,noc_5,105
1302,noc_6,2445
1302,noc_7,2030
1302,noc_8,1435
1302,noc_9,1480
1302,commute_less_15_min,5210
1302,commute_15_29_min,2635
1302,commute_30_44_min,1225
1302,commute_45_59_min,505
1302,commute_more_60_min,560
1303,total_pop_15+,21870
1303,labour_force,14880
1303,emp,13645
1303,unemp,1235
1303,not_labour_force,6990
1303,part_rate,0.68
1303,emp_rate,0.624
1303,unemp_rate,0.083
1303,noc_not_applicable,255
1303,noc_managers,1395
1303,noc_1,1885
1303,noc_2,635
1303,noc_3,1045
1303,noc_4,3610
1303,noc_5,145
1303,noc_6,3065
1303,noc_7,2125
1303,noc_8,390
1303,noc_9,320
1303,commute_less_15_min,5150
1303,commute_15_29_min,5545
1303,commute_30_44_min,1620
1303,commute_45_59_min,370
1303,commute_more_60_min,405
1304,total_pop_15+,9070
1304,labour_force,4615
1304,emp,3925
1304,unemp,690
1304,not_labour_force,4455
1304,part_rate,0.509
1304,emp_rate,0.433
1304,unemp_rate,0.15
1304,noc_not_applicable,120
1304,noc_managers,340
1304,noc_1,520
1304,noc_2,155
1304,noc_3,375
1304,noc_4,515
1304,noc_5,35
1304,noc_6,905
1304,noc_7,1115
1304,noc_8,310
1304,noc_9,225
1304,commute_less_15_min,1160
1304,commute_15_29_min,645
1304,commute_30_44_min,635
1304,commute_45_59_min,575
1304,commute_more_60_min,580
1305,total_pop_15+,56165
1305,labour_force,35740
1305,emp,32530
1305,unemp,3210
1305,not_labour_force,20435
1305,part_rate,0.636
1305,emp_rate,0.579
1305,unemp_rate,0.09
1305,noc_not_applicable,610
1305,noc_managers,3945
1305,noc_1,4940
1305,noc_2,2430
1305,noc_3,3265
1305,noc_4,4450
1305,noc_5,660
1305,noc_6,7355
1305,noc_7,5735
1305,noc_8,1110
1305,noc_9,1240
1305,commute_less_15_min,7930
1305,commute_15_29_min,13170
1305,commute_30_44_min,5450
1305,commute_45_59_min,2220
1305,commute_more_60_min,1460
1306,total_pop_15+,24410
1306,labour_force,16065
1306,emp,14495
1306,unemp,1570
1306,not_labour_force,8350
1306,part_rate,0.658
1306,emp_rate,0.594
1306,unemp_rate,0.098
1306,noc_not_applicable,315
1306,noc_managers,1730
1306,noc_1,2455
1306,noc_2,895
1306,noc_3,1165
1306,noc_4,1685
1306,noc_5,315
1306,noc_6,4475
1306,noc_7,2285
1306,noc_8,390
1306,noc_9,360
1306,commute_less_15_min,5745
1306,commute_15_29_min,5320
1306,commute_30_44_min,1620
1306,commute_45_59_min,440
1306,commute_more_60_min,435
1307,total_pop_15+,122980
1307,labour_force,80765
1307,emp,73745
1307,unemp,7015
1307,not_labour_force,42215
1307,part_rate,0.657
1307,emp_rate,0.6
1307,unemp_rate,0.087
1307,noc_not_applicable,1200
1307,noc_managers,7755
1307,noc_1,12540
1307,noc_2,4590
1307,noc_3,6445
1307,noc_4,9185
1307,noc_5,1780
1307,noc_6,21690
1307,noc_7,11020
1307,noc_8,1445
1307,noc_9,3115
1307,commute_less_15_min,30165
1307,commute_15_29_min,27515
1307,commute_30_44_min,7710
1307,commute_45_59_min,1765
1307,commute_more_60_min,1755
1308,total_pop_15+,26030
1308,labour_force,15155
1308,emp,12545
1308,unemp,2615
1308,not_labour_force,10875
1308,part_rate,0.582
1308,emp_rate,0.482
1308,unemp_rate,0.173
1308,noc_not_applicable,250
1308,noc_managers,1025
1308,noc_1,1915
1308,noc_2,445
1308,noc_3,940
1308,noc_4,1470
1308,noc_5,165
1308,noc_6,2995
1308,noc_7,3300
1308,noc_8,1100
1308,noc_9,1550
1308,commute_less_15_min,3785
1308,commute_15_29_min,3120
1308,commute_30_44_min,2850
1308,commute_45_59_min,1240
1308,commute_more_60_min,730
1309,total_pop_15+,37975
1309,labour_force,21435
1309,emp,17335
1309,unemp,4095
1309,not_labour_force,16540
1309,part_rate,0.564
1309,emp_rate,0.456
1309,unemp_rate,0.191
1309,noc_not_applicable,565
1309,noc_managers,1400
1309,noc_1,2865
1309,noc_2,675
1309,noc_3,1675
1309,noc_4,2570
1309,noc_5,205
1309,noc_6,4975
1309,noc_7,3850
1309,noc_8,1355
1309,noc_9,1295
1309,commute_less_15_min,7355
1309,commute_15_29_min,5315
1309,commute_30_44_min,1955
1309,commute_45_59_min,810
1309,commute_more_60_min,1150
1310,total_pop_15+,81865
1310,labour_force,52950
1310,emp,48085
1310,unemp,4865
1310,not_labour_force,28920
1310,part_rate,0.647
1310,emp_rate,0.587
1310,unemp_rate,0.092
1310,noc_not_applicable,970
1310,noc_managers,5490
1310,noc_1,7935
1310,noc_2,4920
1310,noc_3,3785
1310,noc_4,8125
1310,noc_5,1435
1310,noc_6,12300
1310,noc_7,6070
1310,noc_8,1060
1310,noc_9,855
1310,commute_less_15_min,18305
1310,commute_15_29_min,18150
1310,commute_30_44_min,5475
1310,commute_45_59_min,1585
1310,commute_more_60_min,1395
1311,total_pop_15+,21495
1311,labour_force,13500
1311,emp,12265
1311,unemp,1235
1311,not_labour_force,7995
1311,part_rate,0.628
1311,emp_rate,0.571
1311,unemp_rate,0.091
1311,noc_not_applicable,190
1311,noc_managers,1385
1311,noc_1,1870
1311,noc_2,540
1311,noc_3,820
1311,noc_4,1375
1311,noc_5,190
1311,noc_6,2575
1311,noc_7,2775
1311,noc_8,890
1311,noc_9,885
1311,commute_less_15_min,5220
1311,commute_15_29_min,4030
1311,commute_30_44_min,1365
1311,commute_45_59_min,260
1311,commute_more_60_min,380
1312,total_pop_15+,15550
1312,labour_force,8825
1312,emp,7535
1312,unemp,1290
1312,not_labour_force,6730
1312,part_rate,0.568
1312,emp_rate,0.485
1312,unemp_rate,0.146
1312,noc_not_applicable,220
1312,noc_managers,750
1312,noc_1,1090
1312,noc_2,265
1312,noc_3,645
1312,noc_4,985
1312,noc_5,60
1312,noc_6,1780
1312,noc_7,1800
1312,noc_8,570
1312,noc_9,660
1312,commute_less_15_min,3790
1312,commute_15_29_min,1815
1312,commute_30_44_min,840
1312,commute_45_59_min,230
1312,commute_more_60_min,325
1313,total_pop_15+,27150
1313,labour_force,16165
1313,emp,14685
1313,unemp,1485
1313,not_labour_force,10985
1313,part_rate,0.595
1313,emp_rate,0.541
1313,unemp_rate,0.092
1313,noc_not_applicable,260
1313,noc_managers,1295
1313,noc_1,1855
1313,noc_2,605
1313,noc_3,1645
1313,noc_4,1695
1313,noc_5,180
1313,noc_6,3800
1313,noc_7,2675
1313,noc_8,580
1313,noc_9,1575
1313,commute_less_15_min,7470
1313,commute_15_29_min,4320
1313,commute_30_44_min,1260
1313,commute_45_59_min,340
1313,commute_more_60_min,415
1314,total_pop_15+,26230
1314,labour_force,14330
1314,emp,12090
1314,unemp,2240
1314,not_labour_force,11900
1314,part_rate,0.546
1314,emp_rate,0.461
1314,unemp_rate,0.156
1314,noc_not_applicable,300
1314,noc_managers,1040
1314,noc_1,1545
1314,noc_2,445
1314,noc_3,1665
1314,noc_4,1510
1314,noc_5,170
1314,noc_6,3275
1314,noc_7,2630
1314,noc_8,740
1314,noc_9,1010
1314,commute_less_15_min,6090
1314,commute_15_29_min,3595
1314,commute_30_44_min,925
1314,commute_45_59_min,345
1314,commute_more_60_min,505
1315,total_pop_15+,67545
1315,labour_force,37080
1315,emp,31415
1315,unemp,5660
1315,not_labour_force,30465
1315,part_rate,0.549
1315,emp_rate,0.465
1315,unemp_rate,0.153
1315,noc_not_applicable,790
1315,noc_managers,2500
1315,noc_1,4210
1315,noc_2,1315
1315,noc_3,3325
1315,noc_4,3365
1315,noc_5,505
1315,noc_6,8350
1315,noc_7,7105
1315,noc_8,2645
1315,noc_9,2975
1315,commute_less_15_min,13855
1315,commute_15_29_min,9945
1315,commute_30_44_min,3335
1315,commute_45_59_min,1180
1315,commute_more_60_min,1370
2401,total_pop_15+,10790
2401,labour_force,6705
2401,emp,5900
2401,unemp,805
2401,not_labour_force,4080
2401,part_rate,0.621
2401,emp_rate,0.547
2401,unemp_rate,0.12
2401,noc_not_applicable,105
2401,noc_managers,420
2401,noc_1,750
2401,noc_2,210
2401,noc_3,530
2401,noc_4,635
2401,noc_5,110
2401,noc_6,1665
2401,noc_7,835
2401,noc_8,1030
2401,noc_9,420
2401,commute_less_15_min,3900
2401,commute_15_29_min,1150
2401,commute_30_44_min,335
2401,commute_45_59_min,85
2401,commute_more_60_min,100
2402,total_pop_15+,15190
2402,labour_force,7610
2402,emp,6475
2402,unemp,1135
2402,not_labour_force,7580
2402,part_rate,0.501
2402,emp_rate,0.426
